ID,name_product,price_product,number_purchaser,name_store,address
143,一脚蹬男鞋秋季运动板鞋男士休闲小白鞋厚底春季透气舒适皮鞋耐磨,33.80元,400+人收货,天天特卖工厂店,浙江
144,英伦商务正装内增高新郎婚鞋黑色真皮皮鞋男士韩版大码休闲男鞋子,65.00元,400+人收货,飞远潮流男鞋,广东
145,公牛世家男鞋春季款真皮板鞋男2024新款鞋子男款复古运动休闲,198.00元,400+人收货,公牛世家官方旗舰店,福建
146,【头层牛皮】皮鞋男商务正装真皮系带男士休闲结婚新郎鞋透气男鞋,78.00元,400+人收货,377男鞋店,浙江
147,男鞋2024新款春秋季真皮黑色板鞋增高秋冬马丁靴男士百搭休闲,120.00元,400+人收货,南极人淘踏专卖店,福建
148,正版三接头皮鞋男真皮商务正装三节头大码加宽四型德比上班工作鞋,138.00元,400+人收货,老兵真皮鞋店,河南
149,皮鞋男款真皮商务休闲男鞋冬季加绒中老年人牛皮软底大码爸爸鞋子,79.00元,400+人收货,布克狮旗舰店,浙江
150,HLA/海澜之家男鞋正装隐形内增高男士皮鞋商务春秋结婚新郎增高鞋,229.00元,400+人收货,海澜之家鞋类旗舰店,福建
151,意尔康棉鞋男士冬季加绒加厚保暖棉皮鞋高帮真皮防滑中老年爸爸鞋,158.00元,300+人收货,意尔康正品特价店,北京
152,春季皮鞋男休闲大头米奇德比港风西装青年发型师宽脚英伦雅痞厚底,32.00元,300+人收货,Madao潮鞋,福建
153,奥康男鞋男士商务休闲内增高皮鞋男春秋款真皮增高皮鞋结婚新郎,169.00元,300+人收货,奥康嘉润专卖店,浙江
154,奥康男鞋春秋季商务正装皮鞋牛皮办公室尖头系带男士工作大码,257.24元,300+人收货,奥康鞋业旗舰店,浙江
155,花花公子男鞋2023新款秋冬男士加绒休闲皮鞋软底真皮舒适爸爸鞋子,178.00元,300+人收货,花花公子男鞋商场专售,浙江
156,冬季商务皮鞋男正装韩版潮流英伦加绒休闲鞋学生厚底增高西装潮鞋,29.90元,300+人收货,王集旗舰店,浙江
157,红蜻蜓官方旗舰店皮鞋男春秋款商务正装真皮内增高皮鞋新郎结婚鞋,299.00元,300+人收货,红蜻蜓品牌旗舰店,浙江
158,百丽男鞋一脚蹬豆豆鞋舒适皮鞋男款爸爸鞋新款真皮休闲鞋A1010AM3,401.19元,300+人收货,百丽男鞋旗舰店,广东
159,蜻蜓皮鞋男真皮商务正装休闲中老年爸爸鞋一脚蹬春季透气软底防滑,69.00元,300+人收货,waxl旗舰店,浙江
160,啄木鸟男鞋运动休闲鞋加绒棉皮鞋男韩版百搭软底牛皮内增高男鞋潮,88.00元,300+人收货,啄木鸟品牌真皮男鞋,浙江
161,皮鞋男鞋2023新款商务正装棉皮鞋秋冬季加绒黑色运动休闲英伦鞋子,79.00元,300+人收货,旋范旗舰店,浙江
162,花花公子男士皮鞋真皮商务正装宽脚大头内增高结婚新郎休闲鞋棕色,288.00元,300+人收货,PLAYBOY澳马专卖店,浙江
163,红蜻蜓男鞋冬季2024新款真皮商务皮鞋男士加绒百搭运动休闲鞋子男,223.00元,300+人收货,红蜻蜓乐壮专卖店,浙江
164,男鞋夏季2024新款防滑黑色马丁靴工作平板鞋男士皮鞋运动休闲潮鞋,102.00元,300+人收货,dtd旗舰店,福建
165,头层牛皮男鞋真皮冬季新款男士休闲鞋潮流百搭运动内增高皮鞋子男,77.80元,300+人收货,花花公子浙江总部分销商,广东
166,HLA/海澜之家男鞋结婚正装皮鞋加绒商务真皮时尚德比鞋新郎鞋增高,259.00元,300+人收货,海澜之家鞋类旗舰店,福建
167,红蜻蜓男士皮鞋秋季款一脚蹬懒人男鞋商务休闲鞋真皮套脚爸爸单鞋,204.00元,300+人收货,红蜻蜓品牌旗舰店,浙江
168,啄木鸟男鞋真皮软底加绒加厚保暖休闲皮鞋男防滑中老年爸爸大码鞋,98.00元,300+人收货,啄木鸟品质男鞋店,浙江
169,回力皮鞋男款春季新款黑色鞋子男鞋结婚新郎鞋软底休闲商务德比鞋,79.00元,300+人收货,回力旗舰店,江西
170,木林森男鞋2024春季头层牛皮透气运动休闲皮鞋男款内增高真皮鞋子,169.00元,300+人收货,木林森乐诚专卖店,浙江
171,男士皮鞋男款休闲鞋真皮男鞋2024新款春秋款内增高牛皮鞋透气鞋子,79.80元,300+人收货,年轻女经理,浙江
172,蜻蜓牌男士皮鞋真皮商务正装休闲冬季加绒棉鞋大码中老年爸爸鞋子,78.00元,300+人收货,蜻蜓牌鞋类直销总店,浙江
173,男士皮鞋真皮商务休闲秋冬季软底中老年男鞋软皮厚底老人爸爸鞋子,79.00元,300+人收货,布克狮旗舰店,浙江
174,花花公子皮鞋男春秋季男士真皮黑色透气商务正装休闲中老年爸爸鞋,128.00元,300+人收货,品牌男鞋中国直销店,浙江
175,秋季皮鞋男鞋防水防滑厚底黑色小皮鞋新款男士商务正装休闲鞋子男,29.90元,300+人收货,韩风鞋坊,福建
176,马登工装黑色低帮德比鞋英伦风马丁靴厚底工装鞋休闲圆头皮鞋子男,169.90元,300+人收货,马登工装,浙江
177,蜘蛛王皮鞋男真皮秋季新款牛筋底中老年男鞋休闲耐磨透气爸爸鞋子,118.00元,300+人收货,蜘蛛王男鞋特惠店,浙江
178,2024春季新款皮鞋男休闲八爪鱼一脚蹬韩版中帮工作鞋软底运动板鞋,29.90元,300+人收货,hongzhongniao旗舰店,浙江
179,奥康男鞋春秋2024新款黑色鞋子商务休闲皮鞋春季男士运动男款板鞋,188.00元,300+人收货,aokang奥康任我行专卖店,山东
180,啄木鸟男鞋户外运动休闲登山鞋冬季加绒高帮棉鞋真皮爸爸皮鞋男款,93.00元,300+人收货,啄木鸟直销店铺,浙江
181,意尔康男鞋真皮男士三接头商务正装西装皮鞋英伦风单鞋新郎结婚,239.90元,300+人收货,意尔康皮鞋旗舰店,浙江
182,春季男鞋2024新款运动休闲英伦黑色皮鞋工作板鞋百搭正装商务潮鞋,41.30元,300+人收货,看海旗舰店,福建
183,木林森男鞋2024春季软底透气休闲皮鞋男潮板鞋内增高运动真皮鞋子,169.00元,300+人收货,木林森乐诚专卖店,浙江
184,意尔康男鞋新款2023秋冬季男士真皮软皮运动鞋户外软底加绒休闲鞋透气增高男,114.00元,300+人收货,意尓康鑫鑫品牌男鞋店,浙江
185,3品牌男女鞋处理,39.90元,300+人收货,品牌男女鞋处理,安徽
186,小白鞋男2024新款夏季休闲皮鞋男士白鞋百搭软底运动工作劳保板鞋,16.00元,300+人收货,库都概念旗舰店,福建
187,意尔康男鞋羊皮英伦风商务休闲皮鞋男士一脚蹬单鞋真皮乐福鞋爸爸,190.90元,300+人收货,意尔康皮鞋旗舰店,浙江
